Visitation Date,Age,Country,Number of overnight stays
2015-07-27,35-49,Western Europe,Rare Guests
2015-07-27,35-49,Western Europe,Rare Guests
2015-07-28,35-49,Western Europe,Rare Guests
2015-07-29,35-49,Western Europe,Rare Guests
2015-07-29,35-49,Western Europe,Rare Guests
2015-07-29,35-49,Western Europe,Rare Guests
2015-07-30,35-49,Western Europe,Rare Guests
2015-07-30,35-49,Western Europe,Rare Guests
2015-07-30,35-49,Western Europe,Rare Guests
2015-07-30,35-49,Western Europe,Rare Guests
2015-07-30,35-49,Western Europe,Rare Guests
2015-07-30,35-49,Western Europe,Rare Guests
2015-07-30,35-49,Western Europe,Rare Guests
2015-07-30,35-49,Western Europe,Rare Guests
2015-07-31,35-49,Western Europe,Rare Guests
2015-07-31,35-49,Western Europe,Rare Guests
2015-07-31,35-49,Western Europe,Rare Guests
2015-07-31,35-49,Western Europe,Rare Guests
2015-07-31,35-49,Western Europe,Rare Guests
2015-07-31,35-49,Western Europe,Rare Guests
2015-07-31,35-49,Western Europe,Rare Guests
2015-08-02,35-49,Western Europe,Rare Guests
2015-08-02,35-49,Western Europe,Rare Guests
2015-08-02,35-49,Western Europe,Rare Guests
2015-08-04,35-49,Western Europe,Rare Guests
2015-08-10,35-49,Western Europe,Rare Guests
2015-08-10,35-49,Western Europe,Rare Guests
2015-08-11,35-49,Western Europe,Rare Guests
2015-08-11,35-49,Western Europe,Rare Guests
2015-08-11,35-49,Western Europe,Rare Guests
2015-08-12,35-49,Western Europe,Rare Guests
2015-08-12,35-49,Western Europe,Rare Guests
2015-07-01,50-64,Western Europe,*
2015-07-06,50-64,Western Europe,*
2015-07-06,50-64,Western Europe,*
2015-07-07,50-64,Western Europe,*
2015-07-14,50-64,Western Europe,*
2015-07-20,50-64,Western Europe,*
2015-07-20,50-64,Western Europe,*
2015-07-23,50-64,Western Europe,*
2015-08-01,50-64,Western Europe,*
2015-08-01,50-64,Western Europe,*
2015-08-07,50-64,Western Europe,*
2015-03-17,50-64,Western Europe,Occasional Guests
2015-03-25,50-64,Western Europe,Occasional Guests
2015-03-28,50-64,Western Europe,Occasional Guests
2015-04-04,50-64,Western Europe,Occasional Guests
2015-04-17,50-64,Western Europe,Occasional Guests
2015-04-22,50-64,Western Europe,Occasional Guests
